Date,Username,Tweet,label
2022-07-05 12:36:49+00:00,Kuamboblack,@PendisKemenag 😂😂😂😂😂😂😂😂😂😂😂😂,
2022-07-05 12:35:46+00:00,Kuamboblack,@PendisKemenag 😂😂😂😂😂😂😂😂😂,
2022-07-05 12:35:18+00:00,Kuamboblack,@PendisKemenag 😂😂😂😂😂,
2022-07-05 02:04:11+00:00,tryhandoko123,"@PendisKemenag PPPK guru madrasah pak dibahas, kasian",
2022-07-04 06:57:43+00:00,Kuamboblack,@PendisKemenag Kualitasmu juga tingkatkan,
2022-07-02 12:52:55+00:00,mahargiyant_,"@PendisKemenag hai min, hehe.",
2022-07-01 15:45:33+00:00,Kuamboblack,@PendisKemenag Takuuutt ngumpet ahh,
2022-07-01 06:25:28+00:00,MirzaHikmah,@PendisKemenag Min bgmna nasib guru madrasah tentang SE meniadakan libur semester? Mhon ditanggapi dan diberikan alasanlah. Kasian guru2 kemenag yg penempatan jauh dari keluarga 🙏🏻. Semoga segera direvisi ya min..,
2022-07-01 06:24:48+00:00,MirzaHikmah,@PendisKemenag Min bgmna nasib guru madrasah tentang SE meniadakan libur semester? Mhon ditanggapi dan diberikan alasanlah. Kasian guru2 kemenag yg penempatan jauh dari keluarga 🙏🏻.. semoga segera direvisi yaa min..,
2022-07-01 04:56:07+00:00,AbdinegaraSetia,@PendisKemenag min kapan bukaan pppk guru madrasah swasta?,
2022-06-30 21:55:15+00:00,Kuamboblack,@PendisKemenag Semoga orang orang yang dzolim mendapar laknat Tuhan yang maha kuasa,
2022-06-30 21:53:55+00:00,Kuamboblack,@PendisKemenag Ayo bikin SE lagi berdasakan hawa nafsunya,
2022-06-30 05:54:24+00:00,Kuamboblack,@PendisKemenag Sesungguhnya dosa itu atas orang-orang yang berbuat zalim kepada sesama manusia dan melampaui batas di bumi tanpa (mengindahkan) kebenaran. Mereka itu mendapatkan siksa yang pedih” (QS asy-Syura: 42).,
2022-06-30 02:34:02+00:00,harhaarr,@PendisKemenag @direktoridosen @Bebekaduskaliii,
2022-06-30 00:28:27+00:00,nkstuhi,"@PendisKemenag halo admin yang dzalim dan tidak bijaksana. gimana kelanjutan libur semester guru madrasah. ngeri banget gak sih, didoakan orang se Indonesia yang merasa teraniaya. ati2 didoain jelek malah dikabulkan.",
2022-06-29 18:00:18+00:00,oktarinaafida2,"@PendisKemenag Sampai sekarang belum ada tanggapan, konfirmasi sama sekali tentang SE perampasan hak libur guru, para pemangku jabatan, bagaimana anda bisa setega itu menghalangi jalan silaturahmi kami dg keluarga.",
2022-06-29 17:12:02+00:00,Kuamboblack,"@PendisKemenag Posting SE perampasan libur guru donk, biar keren gitu..",
2022-06-28 23:22:59+00:00,Kuamboblack,@PendisKemenag Kreatifnya overdosis gak ketulungan,
2022-06-28 23:17:15+00:00,Kuamboblack,"@PendisKemenag Mengerikan,kejam, dan otoriter",
2022-06-28 22:26:33+00:00,tryhandoko123,@PendisKemenag PPPK guru madrasah dipikirin min,
2022-06-28 16:02:08+00:00,auni_19okt89,@PendisKemenag Mohon penjelasannya terkait edaran yg meniadakan libur semester bagi guru guru madrasah,
2022-06-28 14:47:04+00:00,Kuamboblack,"@PendisKemenag Diam seperti siluman,  bergerak mendzolimi kereen",
2022-06-28 14:45:04+00:00,Kuamboblack,"@PendisKemenag Halah mental hitler lu, komentar IG aja pake ditutup segala, Wahai @PendisKemenag  anda harus mengklarifikasi sejelas2nya surat edaran konyol tentang libur madrasah yg sudah meresahkan itu",
2022-06-28 11:30:48+00:00,LbsDyna,@PendisKemenag Belajar diam bae nih... klarifikasi dong... guru di tekan2 seolah2 gurutuh ga penting x untuk libur.... guru BUKAN ROBOT MIN... #kembalikanliburguru #kembalikanhakguru,
2022-06-28 11:25:42+00:00,tyass_11,@PendisKemenag Tolong ditinjau kembali SE yg membuat resah guru Madrasah..,
2022-06-28 11:12:48+00:00,LbsDyna,@PendisKemenag Posting yang SE lah min... masa diem bae #selamatkanliburGURU,
2022-06-28 10:09:02+00:00,UmarBakery4,@PendisKemenag Surat edaran yg entah dasar hukumnya apa ASN Guru tetep masuk padahal kemenpan sendiri menegaskan guru berhak memperoleh libur semester https://t.co/TsFAkOmTfF,
2022-06-28 09:17:23+00:00,tryhandoko123,"@PendisKemenag Bahas PPPK Kemenag guru madrasah min,, udah ngabdi belasan sampai puluhan tahun ini,, masa kalah sm Dapodik baru bbrp bulan bs ikut PPPK,, sungguh kasian mereka",
2022-06-28 08:55:20+00:00,mahargiyant_,@PendisKemenag nggak bahas SE yg membuat para guru resah aja min?,
2022-06-28 08:20:38+00:00,yuniaaMS,"@PendisKemenag Assalamualaikum admin pendiskemenag, kami ingin menanyakan aturan dasar hukum mana yg digunakan terkait Surat Edaran tentang Libur Akhir Semester pada Madrasah ? kenapa bertentangan dengan peraturan perundangan-undangan yang berlaku secara ",
2022-06-28 07:58:06+00:00,rizkyrosiana_,"@PendisKemenag Tolong alasannya kenapa guru madrasah dihapus libur semesternya. Kami yg bekerja 6hr seminggu, jauh dr keluarga, tunjangan non sertifikasi tidak penuh, diperlakukan sama dgn struktural. Semua akan dimintai pertanggungjawaban, ingat2 saja",
2022-06-28 07:09:50+00:00,siakkang,@PendisKemenag Kami butuh klarifikasi,
2022-06-28 06:10:05+00:00,Airol_rulnex99,@PendisKemenag Diam seolah2 tidak terjadi apa2 dg guru2nya ..,
2022-06-28 06:08:18+00:00,siakkang,@PendisKemenag Gg gaming min,
2022-06-28 05:35:44+00:00,mahargiyant_,"@PendisKemenag min, ditagih dimana2 nih. kok diem2 wae? 😭",
2022-06-28 03:47:47+00:00,WitriNingsih,"@PendisKemenag Min kami butuh libur, jgn zolim kpd guru",
2022-06-28 03:40:13+00:00,depannyawarung,@PendisKemenag gimana kabar surat edarannya bpk/ibu? gak pengen ditarik? apa relevansinya mengeluarkan surat edaran mendadak dan isinya tidak memikirkan kesejahteraan guru? kalian malah mengambil hak² para guru,
2022-06-28 00:42:45+00:00,Juniarni,"@PendisKemenag Dear Bapak Ditjen Pendis,  izin bertanya, apakah ada alasan khusus sehingga guru madrasah tidak lagi berhak mendapatkan jatah libur semester? @Kemenag_RI",
2022-06-28 00:40:26+00:00,bamz_susilo,@PendisKemenag Maaf min mau bertanya tentang SE Nomor B-1139.1/DJ.I/DT.1.1/06/2022 tentang libur akhir pada madrasah. Apakah memang guru2 di bawah naungan Kemenag yang berstatus ASN kembali masuk kerja seperti biasa? Mohon pencerahannya ya min,
2022-06-27 16:03:45+00:00,jrgbukatwt,"@PendisKemenag gimana ini.. kok guru ga bisa dpat libur..suda kerja 6 hari, di madrasah sibuk dgn ratusan siswa, tunjangan dibedakan sm kantor, ppg macet.. mau apalagi sih.. ingat tanpa guru kalian bukan apa2..tlong ditindak lanjut pak @YaqutCQoumas @joko",
2022-06-27 15:22:10+00:00,Paijo59409482,"@PendisKemenag Soal libur guru, tolong fikirkan guru yg merantau dan punya orang tua dipulau sebrang",
2022-06-27 14:57:49+00:00,siakkang,@PendisKemenag Mohon klarifikasinya terhadap SE meniadakan libur semester bagi guru,
2022-06-27 13:05:34+00:00,cuculordrangga,"@PendisKemenag Jika belum bisa mensejahterakan guru, jangan rampas hak guru",
2022-06-27 11:37:46+00:00,auni_19okt89,@PendisKemenag Tolong Untuk pencerahannya terkait libur semester bagi guru madrasah.,
2022-06-27 09:22:46+00:00,MinHarus,"@PendisKemenag Admin mohon info apa kh surat ini benar adanya, kami sebagai guru merasa resah dengan ditidakannya libur semester guru https://t.co/YSHZ1y2VZ2",
2022-06-27 09:09:03+00:00,dorynella,"@PendisKemenag 

Izin, Min. 

Apakah SE ini benar atau tidak?

Maaf dan terima kasih https://t.co/loPHK0k2Vg",
2022-06-27 07:49:21+00:00,tsalasatul,@PendisKemenag Salam mimin... Boleh info terkait beasiswa untuk dosen dibawah naungan kemenag?🙏,
2022-06-27 07:14:27+00:00,tsalasatul,@PendisKemenag mohon info terkait beasiswa untuk dosen dibawah naungan kemenag.. karena mnrt info dosen kemenag tidak boleh mengikuti beasiswa BPI. Trims Mimin🙏,
2022-06-21 11:28:49+00:00,tapaikelambu,"@PendisKemenag Admin nanya dong,
Gimana nih kabarnya tidak ada libur semester untuk guru Juli ini ?",
2022-06-15 03:56:33+00:00,abdulwahid56606,"@PendisKemenag Gimn nasif guru inpasing BPK Mentri,apakah ada harapan..p3k apa lagi PNS..bpk..",
2022-06-13 04:59:15+00:00,arabi_damuen,@PendisKemenag Aamien,
2022-06-09 09:06:20+00:00,awanncerah,@PendisKemenag Hallo min penguman nya bisa di akses via apa ?,
2022-06-04 03:13:05+00:00,ParningotanAri1,@PendisKemenag https://t.co/2D5AEOl9M6,
2022-05-31 07:36:41+00:00,Munawwir90,"@PendisKemenag @PPesantren
Salam

Saya Muhammad Nasir Munawir dari Pondok Pesantren Riyadlul Quran Mojokerto,

Saya ingin menggunakan aplikasi elearning untuk di jalankan di lembaga kami apakah bisa?",
2022-05-31 04:30:13+00:00,MoalNkri,@PendisKemenag Assalamualaikum,
2022-05-29 03:23:27+00:00,ika_nuansah,@PendisKemenag Pokja guru apa min?🙏🏻,
